Date,SPY
2020-06-12 00:00:00+00:00,284.65380859375
2020-06-15 00:00:00+00:00,287.31121826171875
2020-06-16 00:00:00+00:00,292.84130859375
2020-06-17 00:00:00+00:00,291.6249084472656
2020-06-18 00:00:00+00:00,291.7372131347656
2020-06-19 00:00:00+00:00,290.0699462890625
2020-06-22 00:00:00+00:00,291.9307861328125
2020-06-23 00:00:00+00:00,293.2747802734375
2020-06-24 00:00:00+00:00,285.79376220703125
2020-06-25 00:00:00+00:00,288.85760498046875
2020-06-26 00:00:00+00:00,281.9967956542969
2020-06-29 00:00:00+00:00,286.14141845703125
2020-06-30 00:00:00+00:00,289.80682373046875
2020-07-01 00:00:00+00:00,291.8367614746094
2020-07-02 00:00:00+00:00,293.44390869140625
2020-07-06 00:00:00+00:00,297.97393798828125
2020-07-07 00:00:00+00:00,294.90069580078125
2020-07-08 00:00:00+00:00,297.15631103515625
2020-07-09 00:00:00+00:00,295.46453857421875
2020-07-10 00:00:00+00:00,298.4814147949219
2020-07-13 00:00:00+00:00,295.8968811035156
2020-07-14 00:00:00+00:00,299.7314147949219
2020-07-15 00:00:00+00:00,302.485107421875
2020-07-16 00:00:00+00:00,301.4888916015625
2020-07-17 00:00:00+00:00,302.3630065917969
2020-07-20 00:00:00+00:00,304.8064880371094
2020-07-21 00:00:00+00:00,305.4549560546875
2020-07-22 00:00:00+00:00,307.1937255859375
2020-07-23 00:00:00+00:00,303.5283508300781
2020-07-24 00:00:00+00:00,301.57342529296875
2020-07-27 00:00:00+00:00,303.772705078125
2020-07-28 00:00:00+00:00,301.8460693359375
2020-07-29 00:00:00+00:00,305.558349609375
2020-07-30 00:00:00+00:00,304.4681701660156
2020-07-31 00:00:00+00:00,306.8741455078125
2020-08-03 00:00:00+00:00,309.00762939453125
2020-08-04 00:00:00+00:00,310.2011413574219
2020-08-05 00:00:00+00:00,312.1277160644531
2020-08-06 00:00:00+00:00,314.2142639160156
2020-08-07 00:00:00+00:00,314.4397888183594
2020-08-10 00:00:00+00:00,315.379638671875
2020-08-11 00:00:00+00:00,312.7762451171875
2020-08-12 00:00:00+00:00,317.1370849609375
2020-08-13 00:00:00+00:00,316.5638427734375
2020-08-14 00:00:00+00:00,316.5732421875
2020-08-17 00:00:00+00:00,317.578857421875
2020-08-18 00:00:00+00:00,318.2648620605469
2020-08-19 00:00:00+00:00,316.9398193359375
2020-08-20 00:00:00+00:00,317.9265441894531
2020-08-21 00:00:00+00:00,319.0544128417969
2020-08-24 00:00:00+00:00,322.287353515625
2020-08-25 00:00:00+00:00,323.41522216796875
2020-08-26 00:00:00+00:00,326.6575927734375
2020-08-27 00:00:00+00:00,327.37188720703125
2020-08-28 00:00:00+00:00,329.48651123046875
2020-08-31 00:00:00+00:00,328.2929382324219
2020-09-01 00:00:00+00:00,331.3849792480469
2020-09-02 00:00:00+00:00,336.17816162109375
2020-09-03 00:00:00+00:00,324.60882568359375
2020-09-04 00:00:00+00:00,321.95849609375
2020-09-08 00:00:00+00:00,313.1615295410156
2020-09-09 00:00:00+00:00,319.3457336425781
2020-09-10 00:00:00+00:00,313.80072021484375
2020-09-11 00:00:00+00:00,313.96051025390625
2020-09-14 00:00:00+00:00,318.09576416015625
2020-09-15 00:00:00+00:00,319.702880859375
2020-09-16 00:00:00+00:00,318.4340515136719
2020-09-17 00:00:00+00:00,315.6334228515625
2020-09-18 00:00:00+00:00,311.9996032714844
2020-09-21 00:00:00+00:00,308.52716064453125
2020-09-22 00:00:00+00:00,311.6693115234375
2020-09-23 00:00:00+00:00,304.44146728515625
2020-09-24 00:00:00+00:00,305.25286865234375
2020-09-25 00:00:00+00:00,310.18792724609375
2020-09-28 00:00:00+00:00,315.3399963378906
2020-09-29 00:00:00+00:00,313.62261962890625
2020-09-30 00:00:00+00:00,316.0004577636719
2020-10-01 00:00:00+00:00,318.0291748046875
2020-10-02 00:00:00+00:00,315.0096740722656
2020-10-05 00:00:00+00:00,320.59576416015625
2020-10-06 00:00:00+00:00,316.0381774902344
2020-10-07 00:00:00+00:00,321.5393981933594
2020-10-08 00:00:00+00:00,324.3890380859375
2020-10-09 00:00:00+00:00,327.28582763671875
2020-10-12 00:00:00+00:00,332.5510559082031
2020-10-13 00:00:00+00:00,330.38079833984375
2020-10-14 00:00:00+00:00,328.3049621582031
2020-10-15 00:00:00+00:00,327.8992004394531
2020-10-16 00:00:00+00:00,327.7010192871094
2020-10-19 00:00:00+00:00,322.71893310546875
2020-10-20 00:00:00+00:00,324.01153564453125
2020-10-21 00:00:00+00:00,323.3982238769531
2020-10-22 00:00:00+00:00,325.1721496582031
2020-10-23 00:00:00+00:00,326.27618408203125
2020-10-26 00:00:00+00:00,320.2466125488281
2020-10-27 00:00:00+00:00,319.14263916015625
2020-10-28 00:00:00+00:00,308.2346496582031
2020-10-29 00:00:00+00:00,311.367431640625
2020-10-30 00:00:00+00:00,308.1214294433594
2020-11-02 00:00:00+00:00,311.574951171875
2020-11-03 00:00:00+00:00,317.0761413574219
2020-11-04 00:00:00+00:00,324.1624755859375
2020-11-05 00:00:00+00:00,330.484619140625
2020-11-06 00:00:00+00:00,330.40911865234375
2020-11-09 00:00:00+00:00,334.56097412109375
2020-11-10 00:00:00+00:00,334.0702819824219
2020-11-11 00:00:00+00:00,336.5519714355469
2020-11-12 00:00:00+00:00,333.2870788574219
2020-11-13 00:00:00+00:00,337.9013366699219
2020-11-16 00:00:00+00:00,342.119140625
2020-11-17 00:00:00+00:00,340.2791442871094
2020-11-18 00:00:00+00:00,336.1839294433594
2020-11-19 00:00:00+00:00,337.5993347167969
2020-11-20 00:00:00+00:00,335.2875061035156
2020-11-23 00:00:00+00:00,337.2973327636719
2020-11-24 00:00:00+00:00,342.73248291015625
2020-11-25 00:00:00+00:00,342.2041320800781
2020-11-27 00:00:00+00:00,343.1571044921875
2020-11-30 00:00:00+00:00,341.6378479003906
2020-12-01 00:00:00+00:00,345.3745422363281
2020-12-02 00:00:00+00:00,346.1011657714844
2020-12-03 00:00:00+00:00,346.0068054199219
2020-12-04 00:00:00+00:00,348.9884948730469
2020-12-07 00:00:00+00:00,348.2713928222656
2020-12-08 00:00:00+00:00,349.29046630859375
2020-12-09 00:00:00+00:00,346.15777587890625
2020-12-10 00:00:00+00:00,346.04449462890625
2020-12-11 00:00:00+00:00,345.6387023925781
2020-12-14 00:00:00+00:00,344.09124755859375
2020-12-15 00:00:00+00:00,348.7431945800781
2020-12-16 00:00:00+00:00,349.29046630859375
2020-12-17 00:00:00+00:00,351.24371337890625
2020-12-18 00:00:00+00:00,349.84124755859375
2020-12-21 00:00:00+00:00,348.59033203125
2020-12-22 00:00:00+00:00,348.0027770996094
2020-12-23 00:00:00+00:00,348.3155517578125
2020-12-24 00:00:00+00:00,349.670654296875
2020-12-28 00:00:00+00:00,352.67462158203125
2020-12-29 00:00:00+00:00,352.0017395019531
2020-12-30 00:00:00+00:00,352.50396728515625
2020-12-31 00:00:00+00:00,354.2950134277344
2021-01-04 00:00:00+00:00,349.4716796875
2021-01-05 00:00:00+00:00,351.8785705566406
2021-01-06 00:00:00+00:00,353.98223876953125
2021-01-07 00:00:00+00:00,359.2415771484375
2021-01-08 00:00:00+00:00,361.2884521484375
2021-01-11 00:00:00+00:00,358.8531188964844
2021-01-12 00:00:00+00:00,358.92889404296875
2021-01-13 00:00:00+00:00,359.8954772949219
2021-01-14 00:00:00+00:00,358.6351623535156
2021-01-15 00:00:00+00:00,356.0196533203125
2021-01-19 00:00:00+00:00,358.815185546875
2021-01-20 00:00:00+00:00,363.78070068359375
2021-01-21 00:00:00+00:00,364.1122741699219
2021-01-22 00:00:00+00:00,362.8236389160156
2021-01-25 00:00:00+00:00,364.2545471191406
2021-01-26 00:00:00+00:00,363.6859436035156
2021-01-27 00:00:00+00:00,354.7972412109375
2021-01-28 00:00:00+00:00,357.84857177734375
2021-01-29 00:00:00+00:00,350.68463134765625
2021-02-01 00:00:00+00:00,356.5219421386719
2021-02-02 00:00:00+00:00,361.5632629394531
2021-02-03 00:00:00+00:00,361.8475341796875
2021-02-04 00:00:00+00:00,365.960205078125
2021-02-05 00:00:00+00:00,367.40057373046875
2021-02-08 00:00:00+00:00,370.0539245605469
2021-02-09 00:00:00+00:00,369.8074645996094
2021-02-10 00:00:00+00:00,369.646484375
2021-02-11 00:00:00+00:00,370.2434387207031
2021-02-12 00:00:00+00:00,372.0722961425781
2021-02-16 00:00:00+00:00,371.7501220703125
2021-02-17 00:00:00+00:00,371.8354187011719
2021-02-18 00:00:00+00:00,370.25286865234375
2021-02-19 00:00:00+00:00,369.5990905761719
2021-02-22 00:00:00+00:00,366.75616455078125
2021-02-23 00:00:00+00:00,367.20159912109375
2021-02-24 00:00:00+00:00,371.2479248046875
2021-02-25 00:00:00+00:00,362.3023376464844
2021-02-26 00:00:00+00:00,360.435546875
2021-03-01 00:00:00+00:00,369.1725769042969
2021-03-02 00:00:00+00:00,366.2919006347656
2021-03-03 00:00:00+00:00,361.4400634765625
2021-03-04 00:00:00+00:00,356.96734619140625
